GenePublicName,SequenceNameGene,SequenceNameTranscript,DC,OP50,Ratio_DCvsOP50,log2_Ratio_DCvsOP50,Infection_upregulated,Infection_downregulated
B0024.10,B0024.10,B0024.10.2,"0,846433","0,92064",0.919396289538,-0.12124125109,,
B0024.11,B0024.11,B0024.11,"0,684192","0,732559",0.933975283902,-0.09854372297,,
gna-1,B0024.12,B0024.12,"0,062029","0,071273",0.870306583025,-0.20040438600,,
B0024.13,B0024.13,B0024.13a,"1,56644","1,81906",0.861126076105,-0.21570361910,,
B0024.13,B0024.13,B0024.13b,"1,31989","1,53276",0.861119810016,-0.21571411709,,
crm-1,B0024.14,B0024.14a,"0,439886","0,412983",1.065143117271,0.09104729027,,
crm-1,B0024.14,B0024.14b,"0,420701","0,403703",1.042105211009,0.05950093955,,
crm-1,B0024.14,B0024.14c.1,"0,449077","0,409698",1.096117139942,0.13240198460,,
crm-1,B0024.14,B0024.14c.2,"0,39353","0,388336",1.013375015451,0.01916816507,,
crm-1,B0024.14,B0024.14d,"0,440769","0,413738",1.065333616927,0.09130529159,,
crm-1,B0024.14,B0024.14e,"0,461184","0,409773",1.125462146115,0.17051753389,,
B0024.15,B0024.15,B0024.15,"0,003044","0,003599",0.845891343615,-0.24145573662,,
col-150,B0024.2,B0024.2,"0,145146","0,196178",0.739868894575,-0.43465844834,,
B0024.3,B0024.3,B0024.3,"0,013852","0,014754",0.938876763952,-0.09099229132,,
B0024.4,B0024.4,B0024.4,"0,013031","0,010295",1.265674628228,0.33990657335,,
gcy-6,B0024.6,B0024.6,"0,000424","0,001289",0.329090161582,-1.60344519832,,1
B0024.8,B0024.8,B0024.8,"0,005684","0,004907",1.158484590332,0.21223885422,,
trx-2,B0024.9,B0024.9.1,"0,985219","0,712198",1.383349854956,0.46816606624,,
trx-2,B0024.9,B0024.9.2,"1,42735","1,03324",1.381431226046,0.46616373999,,
vps-34,B0025.1,B0025.1a,"0,467139","0,529478",0.882263285727,-0.18071884463,,
vps-34,B0025.1,B0025.1b.1,"0,433769","0,495845",0.874807651585,-0.19296225578,,
vps-34,B0025.1,B0025.1b.2,"0,467077","0,529451",0.882191175387,-0.18083676575,,
vps-34,B0025.1,B0025.1c.1,"0,467077","0,529451",0.882191175387,-0.18083676575,,
vps-34,B0025.1,B0025.1c.2,"0,469274","0,534002",0.878786970835,-0.18641461481,,
vps-34,B0025.1,B0025.1d.1,"0,478105","0,548399",0.871819605798,-0.19789844698,,
