level_0,index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
10176,4475,4476,F59B10.1,0.006373653000000001,0.030107752,0.329351865,0.120734033,6.369399901,0.036148911,0.0017812479999999998,0.012775543,0.020083812,0.020083812,WBGene00004134,pqn-47
10261,156,157,F59F4.2,1.8e-19,2.42e-17,-1.3704710830000002,0.151852383,7.6981242,0.388481521,0.000457528,0.034131191,0.009015865999999999,0.034131191,WBGene00010337,F59F4.2
10345,2003,2004,H06I04.1a,3.929999999999999e-05,0.00041438099999999996,0.40660164,0.098889028,7.084901522000001,0.031660716,0.002343413,0.007617636,0.012325147,0.012325147,WBGene00019167,H06I04.1
10374,1515,1516,H10D18.2,3.76e-06,5.25e-05,2.277385294,0.49251600100000004,2.940225476,1.078409199,0.141613931,0.032987853,0.222244086,0.222244086,WBGene00019178,scl-12
10382,1162,1163,H11E01.2,4.56e-07,8.29e-06,-1.367231761,0.271065722,4.153850104,0.37772073799999994,0.019342189,0.07707441599999999,0.09087275,0.09087275,WBGene00019187,H11E01.2
10552,434,435,H29C22.1,9.41e-12,4.58e-10,-2.248583643,0.329936638,5.373797913,1.535032964,0.006379831999999999,0.156907446,0.041411309,0.156907446,WBGene00045261,H29C22.1
10626,1731,1732,JC8.3a,1.27e-05,0.000154592,-0.333291044,0.076340777,9.908991861,0.025197993999999998,0.000552738,0.006480721,0.008189133000000001,0.008189133000000001,WBGene00004424,rpl-12
10655,1782,1783,K01A2.4,1.58e-05,0.00018711900000000002,1.206308048,0.279405478,4.0963698719999995,0.23621601600000003,0.022561657000000002,0.020356211000000003,0.094539475,0.094539475,WBGene00019279,K01A2.4
10683,1150,1151,K01D12.11,4.06e-07,7.47e-06,0.7292448029999999,0.143950932,6.500303037,0.124439618,0.001577882,0.029504924,0.018367135,0.029504924,WBGene00010470,cdr-4
10716,3062,3063,K02A11.4,0.000774618,0.005346961999999999,-1.376077945,0.409338837,4.175571594,0.585062552,0.017592846000000002,0.23374457899999998,0.08952256,0.23374457899999998,WBGene00044607,K02A11.4
10760,223,224,K02D3.1,1.94e-16,1.83e-14,2.042374801,0.24829223600000003,4.603562851,0.8555832609999999,0.021633021000000002,0.070840531,0.066879471,0.070840531,WBGene00010504,K02D3.1
10761,263,264,K02D7.1a.1,3.61e-15,2.89e-13,-1.049670687,0.13341624300000002,7.317645636,0.243981106,0.000755111,0.02594473,0.010775018,0.02594473,WBGene00019298,K02D7.1
10886,233,234,K03H6.2a,4.09e-16,3.69e-14,-2.966104347,0.364565242,5.029007206,1.41437643,0.015788398000000002,0.183573326,0.05138671,0.183573326,WBGene00019368,K03H6.2
10887,768,769,K03H6.2b,7.37e-09,2.03e-07,-2.228930713,0.38548062299999997,3.8379323239999996,0.849543935,0.092276184,0.130616782,0.113017011,0.130616782,WBGene00019368,K03H6.2
10983,580,581,K04H4.7,2.56e-10,9.32e-09,2.52290073,0.39898448200000003,3.25659779,0.9099491279999999,0.065426101,-0.01724949,0.173356825,0.173356825,WBGene00010575,flp-25
10988,1587,1588,K05B2.3,5.73e-06,7.63e-05,-1.3042121690000001,0.287526157,6.524105512,0.967508479,0.002123175,0.121883761,0.018071884,0.121883761,WBGene00002052,ifa-4
11006,827,828,K05C4.9,1.5e-08,3.82e-07,1.52233714,0.26887677600000004,4.204798477,0.446261887,0.020707143,0.08265904,0.08773493800000001,0.08773493800000001,WBGene00010585,K05C4.9
11024,46,47,K05G3.3,3.0599999999999997e-34,1.38e-31,-1.7389302130000002,0.14252188300000002,6.245271098,0.526286454,0.002287126,0.028181605,0.021951411,0.028181605,WBGene00000281,cah-3
11106,4090,4091,K07A12.7,0.004015614,0.020753392,-0.243907912,0.084780545,7.431950456,0.017006005,0.000604144,0.007761992,0.010177466999999999,0.010177466999999999,WBGene00010624,mrps-15
11156,107,108,K07C6.5,2.2800000000000004e-22,4.4299999999999996e-20,-3.6585492260000003,0.376066322,4.5870232810000005,2.370602822,0.025016597999999998,0.18712221899999998,0.06759786200000001,0.18712221899999998,WBGene00019473,cyp-35A5
11209,196,197,K07H8.6a,1.1900000000000001e-17,1.28e-15,-2.21662346,0.259150453,12.65291633,0.871125727,4.55e-06,0.10073389099999999,0.04701704599999999,0.10073389099999999,WBGene00006930,vit-6
11212,4886,4887,K07H8.7,0.009647844000000001,0.041740203,-2.209740762,0.8537745259999999,1.516237419,1.79244592,0.165996633,0.927399777,0.7002746679999999,0.927399777,WBGene00019507,K07H8.7
11215,1232,1233,K08A2.1.2,7.529999999999999e-07,1.29e-05,0.622003046,0.125730135,6.969534702000001,0.074748892,0.010425597,0.011619536000000001,0.013286503,0.013286503,WBGene00019511,K08A2.1
11226,3319,3320,K08A8.3,0.00126393,0.008046751999999999,0.303792093,0.09422696400000001,7.077512196,0.021056471,0.000935133,0.00098335,0.012382948000000001,0.012382948000000001,WBGene00000591,coh-1
